sample_id,question,first_search_call,error_mode
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,"get_tail_entities(France, Location.administrative_divisions)",wrong-relation
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,"get_tail_entities(Afghan National Anthem, music_composer)",wrong-relation
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?","get_tail_entities(Libya, Location.administrative_divisions)",wrong-entity
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?","get_tail_entities(Portuguese Language, language.writing_system)",wrong-relation
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,"get_tail_entities(Larry Baer, sports.sports_league_participation.league)",wrong-relation
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,"get_tail_entities(Dominican Republic, Location.administrative_divisions)",wrong-relation
WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,What group fought in the Battle of Vicksburg that was based in Montgomery?,"get_tail_entities(Montgomery, location.containedby)",wrong-relation
WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,Which country that is situated in the ASEAN Common Time Zone has the largest population?,"get_tail_entities(ASEAN, organization.organization.founders)",wrong-entity
WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,What popular sport in Spain has a team that won the 2010 FIFA World Cup championship?,"get_tail_entities(Spain, Location.administrative_divisions)",wrong-relation
WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,For what did the personage who was educated at the Dewitt High School win a gold medal?,"get_tail_entities(Dewitt High School, education.educational_institution.colors)",wrong-relation
WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,"Where did Tennessee Williams go to college where the newspaper is ""The Maneater""?","get_tail_entities(Tennessee Williams, education)",wrong-relation
WebQTrn-3376_0619d288bbed0ca782e60c6f841a6051,What colleges did the famous person who went to Castlemont High school go to?,"get_tail_entities(College/University, type)",wrong-entity
WebQTrn-567_693feb48c0515cd069014e7ca2846b37,What movie with the character Teklel Hafouli did Ron Howard do?,"get_tail_entities(Ron Howard, film)",wrong-relation
